Casablanca,Casablanca,الدار البيضاء
Oujda,Oujda,وجدة
Meknes,Meknès,مكناس
El Jadida,El Jadida,الجديدة
Tan-Tan,Tan-Tan,طانطان
Agadir,Agadir,أگادير
Safi,Safi,آسفي
Nador,Nador,الناظور
Tinghir,Tinghir,تنغير
Rissani,Rissani,الريصاني
Skhirat,Skhirat,الصخيرات
Tiflet,Tiflet,تيفلت
Khemisset,Khémisset,الخميسات
Taza,Taza,تازة
Imlil,Imlil,إمليل
Ifrane,Ifrane,إفران
Azrou,Azrou,أزرو
El Hajeb,El Hajeb,الحاجب
Arfoud,Erfoud,أرفود
Midelt,Midelt,ميدلت
Mirleft,Mirleft,ميرلفت
Essaouira,Essaouira,الصويرة
Taroudant,Taroudant,تارودانت
Sidi Ifni,Sidi Ifni,سيدي إفني
Tiznit,Tiznit,تزنيت
Tata,Tata,طاطا
Ouarzazate,Ouarzazate,ورزازات
Fez,Fès,فاس
Rabat,Rabat,الرباط
Chichaoua,Chichaoua,شيشاوة
Chefchaouen,Chefchaouen,شفشاون
Oukaïmeden,Oukaimeden,أوكايمدن
Dakhla,Dakhla,الداخلة
Taghjijt,Taghjijt,تغجيجت
Bouizakarne,Bouizakarne,بو يزكارن
Guelmim,Guelmim,كلميم
Taznakht,Taznakht,تازناخت
Aït Benhaddou,Aït Ben Haddou,آيت بن حدو
Tafraout,Tafraout,تافراوت
Zagora,Zagora,زاكورة
Taliouine,Taliouine,تالوين
Oued Laou,Oued Laou,وادي لو
Issaguen,Issaguen,اساكن
Al Hoceima,Al Hoceima,الحسيمة
Saïdia,Saïdia,السعيدية
Ahfir,Ahfir,أحفير
Berkane,Berkane,بركان
Tendrara,Tendrara,تندرارة
Bouarfa,Bouarfa,بوعرفة
Figuig,Figuig,فكيك
Bni Tadjite,Bni Tadjite,بني تادجيت
Errachidia,Er Rachidia,الرشيدية
Zaida,Zaida,زايدة
Salé,Salé,سلا
Tétouan,Tétouan,تطوان
Sidi Zouine,Sidi Zouine,سيدي الزوين
Imouzzer Kandar,Imouzzer Kandar,إيموزار كندر
Sefrou,Sefrou,صفرو
Meski,Meski,مسكي
Tounfit,Tounfite,تونفيت
Boulemane,Boulemane,بولمان
Imilchil,Imilchil,إملشيل
Marrakesh,Marrakech,مراكش
Amskroud,Amskroud,أمسكروض
Tamri,Tamri,تامري
Aourir,Aourir,أورير
Souk El Arbaa,Souk El Arba Du Gharb,سوق الأربعاء الغرب
Oulmes,Oulmès,ولماس
Imzouren,Imzouren,إمزورن
Aknoul,Aknoul,اكنول
Smara,Smara,السمارة
Larache,Larache,العرائش
Loualidia,Loualidia,الوليدية
Ait Baha,Ait Baha,ايت باها
Khenifra,Khénifra,خنيفرة
Kasba Tadla,Kasba Tadla,قصبة تادلة
Goulmima,Goulmima,گلميمة
Er-Rich,Er-Rich,الريش
Sidi Bibi,Sidi Bibi,سيدي بيبي
Igherm,Igherm,إغرم
Taounate,Taounate,تاونات
El Attaouia,El Attaouia,العطاوية
M'Rirt,M'rirt,مريرت
Ouazzane,Ouazzane,وزان
Jorf El Melha,Jorf El Melha,جرف الملحة
Moulay Idriss Zerhoun,Moulay Idriss Zerhoun,مولاي إدريس
Imsouane,Imsouane,إمسوان
Tazzarine,Tazzarine,تازارين
Aoulouz,Aoulouz,أولوز
Oulad Berhil,Oulad Berhil,اولاد برحيل
Agdz,Agdz,أكدز
Massa,Massa,ماسة
Talsint,Talsint,تالسينت
Tarfaya,Tarfaya,طرفاية
Aferkat,Aferkat,أفركات
Sebt Gzoula,Sebt Gzoula,سبت گزولة
El Beddouza,El Beddouza,البدوزة
Sidi Abed,Sidi Abed,سيدي عابد
Sidi Bouzid,Sidi Bouzid,سيدي بوزيد
Sidi Yahya du Gharb,Sidi Yahya du Gharb,سيدي يحيى الغرب
Abaynou,Abaynou,أبَينو
Sidi Kacem,Sidi Kacem,سيدي قاسم
Ksar el-Kebir,Ksar-el-Kebir,القصر الكبير
Tioughza,Tioughza,تيوغزة
Lakhsas,Lakhsas,لخصاص
Biougra,Biougra,بيوگرى
Fnideq,Fnideq,الفنيدق
Inezgane,Inezgane,إنزگان
Temsia,Temsia,التمسية
Ouled-Teima,Ouled-Teima,أولاد تايمة
Al Aaroui,Al Aaroui,العروي
Ben Taieb,Ben Taïeb,بن الطيب
Dar El Kebdani,Dar El Kebdani,دار الكبداني
Bni Bouayach,Bni Bouayach,بني بوعياش
Sabaa Aiyoun,Sabaa Aiyoun,سبع عيون
Aït Melloul,Aït Melloul,أيت ملول
Agourai,Agourai,أكوراي
Youssoufia,Youssoufia,اليوسفية
Belfaa,Belfaa,بلفاع
Echemmaia,Echemmaia,الشماعية
Imintanoute,Imintanoute,إيمنتانوت
Gourrama,Gourrama,كرامة
Ksar Igli,Ksar Igli,قصر إگلي
Tahannaout,Tahannaout,تحناوت
Tinejdad,Tinejdad,تنجداد
Settat,Settat,سطات
Agouim,Agouim,أگويم
Tamansourt,Tamansourt,تامنصورت
Tameslouht,Tameslouht,تمصلوحت
Midar,Midar,ميضار
El Kelaa des Sraghna,El Kelâat Es-Sraghna,قلعة السراغنة
Ben Guerir,Ben Guerir,بن جرير
Sidi Bennour,Sidi Bennour,سيدي بنور
Debdou,Debdou,دبدو
Martil,Martil,مرتيل
Beni Mellal,Beni Mellal,بني ملال
Assa,Assa,آسـا
Berrechid,Berrechid,برشيد
Icht,Icht,اشت
Jamaat Shaim,Jamaat Shaim,جمعة سحيم
Bouguedra,Bouguedra,ثلاث بو كدرة
Souihla,Souihla,سويهلة
Benslimane,Benslimane,بن سليمان
Azilal,Azilal,أزيلال
Karia Ba Mohamed,Karia Ba Mohamed,قرية با محمد
Moulay Brahim,Moulay Brahim,مولاي إبراهيم
Bouanane,Bouanane,بوعنان
Asni,Asni,أسني
Tafersit,Tafersit,تفرسيت
Fam El Hisn,Fam El Hisn,فم الحصن
Bab Berred,Bab Berred,باب برد
Targuist,Targuist,تارجيست
Zaïo,Zaïo,زايو
Aklim,Aklim,أكليم
Zeghanghane,Zeghanghane,أزغنغان
Askaoun,Askaoun,اسكاون
El Menzel,El Menzel,المنزل
Bhalil,Bhalil,البهاليل
Aïn Bni Mathar,Aïn Bni Mathar,عين بني مطهر
Aousserd,Aousserd,أوسرد
M'Diq,M'Diq,المضيق
Ouaouizaght,Ouaouizaght,واويزغت
Mzizil Tillechte,Mzizil Tillechte,مزيزيل تيلشت
Assoul,Assoul,أسول
Jorf,Jorf,جرف
Oulad Ayyad,Oulad Ayyad,أولاد عياد
Asilah,Assilah,أصيلة
Selouane,Selouane,سلوان
Foum Zguid,Foum Zguid,فم زكيد
Tissint,Tissint,تسينت
Akka,Akka,أقا
Driouch,Driouch,الدريوش
El Borouj,El Borouj,البروج
Amizmiz,Amizmiz,أمزميز
Bouznika,Bouznika,بوزنيقة
Achouria,Achouria,العاشورية
Tighiourine,Tighiourine,تيرعيورين
Tissa,Tissa,تيسة
Ain Taoujdate,Ain Taoujdate,عين تاوجدات
Kenitra,Kénitra,القنيطرة
Tangier,Tanger,طنجة
Beni Ansar / Aït Nsar,Beni Ensar,بني انصار
El Aioun Sidi Mellouk,El Aïoun Sidi Mellouk,العيون سيدي ملوك
Guercif,Guercif,جرسيف
Jerada,Jerada,جرادة
Sidi Allal El Bahraoui,Sidi Allal El Bahraoui,سيدي علال البحراوي
Oued Amlil,Oued Amlil,وادي أمليل
Sidi Slimane,Sidi Slimane,سيدي سليمان
Aïn Harrouda,Ain Harrouda,عين حرودة
Tit Mellil,Tit Mellil,تيط مليل
Médiouna,Médiouna,مديونة
Ras Al Ain,Ras Al Ain,رأس العين
Ben Ahmed,Ben Ahmed,بن أحمد
Khouribga,Khouribga,خريبكة
Oued Zem,Oued Zem,واد زم
Bejaad,Bejaad,بجعد
Souk Sebt Oulad Nemma,Souk Sebt Oulad Nemma,سوق السبت أولاد النمة
Boujniba,Boujniba,بو جنيبة
Azemmour,Azemmour,أزمور
Tamelelt,Tamelelt,تملالت
Ait Ourir,Ait Ourir,ايت اورير
Skoura,Skoura,سكورة
Dar Bel Amri,Dar Bel Amri,دار بلعمري
Bir Jdid,Bir Jdid,البير الجديد
Sidi Yahya Zaer,Sidi Yahya Zaer,سيدي يحيى زعير
Rommani,Rommani,الرماني
Fkih Ben Salah,Fkih Ben Salah,الفقيه بن صالح
Sidi Taibi,Sidi Taibi,سيدي طيبي
Dar Gueddari,Dar Gueddari,دار الكداري
Sidi Bouknadel,Sidi Bouknadel,سيدي بوقنادل
Farkhana,Farkhana,فرخانة
Bni Chiker,Beni Chiker,جماعة بني شيكر
Had Soualem,Had Soualem,حد السوالم
Ifrane Atlas-Saghir,Ifrane Atlas-Saghir,يفران الأطلس الصغير
Tarsouat,Tarsouat,تارسوات
Laayoune,Laâyoune,إقليم العيون
Sidi Boubker,Sidi Boubker,سيدي بوبكر
Sebt Guerdane,Sebt Guerdane,سبت الكردان
Mechra Bel Ksiri,Mechra Bel Ksiri,مشرع بلقصيري
Tichla,Tichla,تشلا
Souira Qdima,Souira Qdima,الصويرة القديمة
Melga el Ouidane,Melga el Ouidane,ملقى الويدان
Ihaddaden,Ihaddaden,إحدادن
Bni Drar,Bni Drar,بني درار
Sidi Slimane Echcharraa,Sidi Slimane Echcharaa,سيدي سليمان الشارة
Anjra,Anjra,أنجرة
Harhoura,Harhoura,هرهورة
Temara,Témara,تمارة
Loulad,Loulad,لولاد
Deroua,Deroua,الدورة
Nouaceur,Nouaceur,النواصر
Bouskoura,Bouskoura,بوسكورة
Sidi Rahal Chatai,Sidi Rahal Chatai,سيدي رحال
Dar Bouazza,Dar Bouazza,دار بوعزة
Chtouka,Chtouka,شتوكة
Aïn El Aouda,Ain El Aouda,عين العودة
Tamesna,Tamesna,تامسنا
Naïma,Naïma,النعيمة
Aïn Attig,Aïn Attig,عين عتيق
Ait Yadine,Ait Yadine,آيت يادين
El Gara,El Gara,الكارة
Mellila,Mellila,مليلة
Lahraouiyine,Lahraouiyine,الهراويين
Oued Heimer,Oued Heimer,وادي الحيمر
Maaziz,Maaziz,معازيز
Sidi Allal Tazi,Sidi Allal Tazi,سيدي علال التازي
Lalla Mimouna,Lalla Mimouna,لالة ميمونة
Laouamra,Laouamra,العوامرة
Boukhalef,Boukhalef,بوخالف
Had Kourt,Had Kourt,حد كرت
Al Machouar Stinia,Al Machouar Stinia,المشور الستينية
Douyet,Douyet,الظويات
Dkhissa,Dkhissa,الدخيسة
Ouislane,Ouislane,ويسلان
Boudnib,Boudnib,بوذنيب
Bouhouda,Bouhouda,بوهودة
Ait Yaazem,Ait Yaazem,آيت يعزم
Ait Boubidmane,Ait Boubidmane,آيت بوبيدمان
Guigou,Guigou,كيكو
Tissaf,Tissaf,تيساف
Taghazout,Taghazout,تغازوت
Imouzzer Marmoucha,Imouzzer Marmoucha,إموزار مرموشة
Outat El Haj,Outat El Haj,أوطاط الحاج
Oulad Frej,Oulad Frej,أولاد فريج
El Kbab,El Kbab,لقباب
Tighassaline,Tighassaline,تيغسالين
Aït Ishaq,Aït Ishaq,آيت إسحاق
Sidi Yahya Ou Saad,Sidi Yahya Ou Saad,سيدي يحيى
Ait Aatab,Ait Aatab,آيت عتاب
Anmiter,Anmiter,أنميتر
Alnif,Alnif,النيف
Tabant,Tabant,تبانت
Tabounte,Tabounte,تابونت
Zaouiat Cheikh,Zaouiat Cheikh,زاوية الشيخ
Zag,Zag,الزاك
Boujdour,Boujdour,بوجدور
N'Kob,N'Kob,انقوب
Foum Jemaa,Foum Jemaa,فم الجمعة
Dar Oulad Zidouh,Dar Oulad Zidouh,دار اولاد زيدوح
Drarga,Drargua,الدراركة
Lqliaa,Lqliaa,القليعة
Oulad Dahou,Oulad Dahou,أولاد داحو
Aït Amira,Aït Amira,أيت عميرة
Ait Daoud,Ait Daoud,أيت داوود
Khnichet,Khnichet,الخنيشات
Haouzia,Haouzia,حوزية
Touarga,Touarga,توارگة
Mechouar Fes Jdid,Méchouar Fès Jdid,المشور فاس الجديد
Skoura M'Daz,Skoura M'Daz,سكورة مداز
El Marsa,El Marsa,المرسى
Oulad M Barek,Oulad M'Barek,أولاد امبارك
Had Bradia,Had Bradia,برادية
El Ksiba,El Ksiba,القصيبة
Laakarta,Laakarta,العكارطة
Had Herrara,Had Herrara,حد حرارة
Khemis Ouled Elhaj,Khemis Ouled Elhaj,خميس ولاد الحاج
Khatazakane,Khatazakane,خط أزكان
Boumia,Boumia,بومية
Sidi Bou Othmane,Sidi Bou Othmane,سيدي بو عثمان
Aguerd Tamanart,Aguerd Tamanart,تمنارت
Mohammedia,Mohammédia,المحمدية
Tindine,Tindite,تينديت
Taourirt,Taourirt,تاوريرت
Sidi Ali Ben Hamdouche,Sidi Ali Ben Hamdouche,سيدي علي بن حمدوش
Bni Yakhlef,Bni Yakhlef,بني يخلف
Mers El Kheir,Mers El Kheir,مرس الخير
Awlād Ṣabāḥ,Oulad Sbah,أولاد صباح
Tahla,Tahla,تاهلة
Reggada,Reggada,الرگادة
Missour,Missour,ميسور
Douar Msameda,Douar Msameda,دوار المصامدة
Sidi Boughanbour,Sidi Boughanbour,سيدي بوغنبور
Demnate,Demnate,دمنات
Errahma,Errahma,الرحمة
Merzouga,Merzouga,مرزوكة
Bouzeroual,Bouzeroual,بوزروال
Toudgha El Oulia,Toudgha El Oulia,تودغى العليا
Dcheira El Jihadia,Dcheira El Jihadia,الدشيرة الجهادية
Cherafate,Cherafate,الشرافات
Amezrou,Amezrou,أمزرو
Ait Bouguemez,Ait Bouguemez,آيت بوكماز
Al Qasr,Al Qsar,القصر
Timtig,Timtig,تمتيك
Boumalne Dadès,Boumalne Dadès,بومالن دادس
Kalaat M'Gouna,Kalaat M'Gouna,قلعة مغونة
Gamna,Gamna,كامنا
Victoria,Victoria,فكتوريا
